date,country,rank,previous_rank,total_points,previous_points,flagUrl,countryUrl,conf
2026-06-24,Tunisia,57,45,1437.686114,1476.405088,https://api.fifa.com/api/v3/picture/flags-sq-2/TUN,https://inside.fifa.com/fifa-world-ranking/TUN,CAF
2026-06-24,Uzbekistan,58,50,1432.836845,1458.734068,https://api.fifa.com/api/v3/picture/flags-sq-2/UZB,https://inside.fifa.com/fifa-world-ranking/UZB,AFC
2026-06-24,Saudi Arabia,59,61,1426.710754,1423.881229,https://api.fifa.com/api/v3/picture/flags-sq-2/KSA,https://inside.fifa.com/fifa-world-ranking/KSA,AFC
2026-06-24,Iraq,60,57,1419.239962,1446.279605,https://api.fifa.com/api/v3/picture/flags-sq-2/IRQ,https://inside.fifa.com/fifa-world-ranking/IRQ,AFC
2026-06-24,South Africa,61,60,1418.211807,1428.379282,https://api.fifa.com/api/v3/picture/flags-sq-2/RSA,https://inside.fifa.com/fifa-world-ranking/RSA,CAF
2026-06-24,Burkina Faso,62,62,1406.990543,1406.990543,https://api.fifa.com/api/v3/picture/flags-sq-2/BFA,https://inside.fifa.com/fifa-world-ranking/BFA,CAF
2026-06-24,Cabo Verde,63,67,1401.770667,1371.10798,https://api.fifa.com/api/v3/picture/flags-sq-2/CPV,https://inside.fifa.com/fifa-world-ranking/CPV,CAF
2026-06-24,Ghana,64,73,1398.566805,1346.881205,https://api.fifa.com/api/v3/picture/flags-sq-2/GHA,https://inside.fifa.com/fifa-world-ranking/GHA,CAF
2026-06-24,Bosnia and Herzegovina,65,64,1381.17664,1387.215771,https://api.fifa.com/api/v3/picture/flags-sq-2/BIH,https://inside.fifa.com/fifa-world-ranking/BIH,UEFA
2026-06-24,Honduras,66,65,1378.970301,1378.970301,https://api.fifa.com/api/v3/picture/flags-sq-2/HON,https://inside.fifa.com/fifa-world-ranking/HON,CONCACAF
2026-06-24,Albania,67,66,1376.033234,1376.033234,https://api.fifa.com/api/v3/picture/flags-sq-2/ALB,https://inside.fifa.com/fifa-world-ranking/ALB,UEFA
2026-06-24,United Arab Emirates,68,68,1370.469434,1370.469434,https://api.fifa.com/api/v3/picture/flags-sq-2/UAE,https://inside.fifa.com/fifa-world-ranking/UAE,AFC
2026-06-24,North Macedonia,69,69,1369.159317,1369.159317,https://api.fifa.com/api/v3/picture/flags-sq-2/MKD,https://inside.fifa.com/fifa-world-ranking/MKD,UEFA
2026-06-24,Northern Ireland,70,70,1365.296485,1365.296485,https://api.fifa.com/api/v3/picture/flags-sq-2/NIR,https://inside.fifa.com/fifa-world-ranking/NIR,UEFA
2026-06-24,Jamaica,71,71,1357.840144,1357.840144,https://api.fifa.com/api/v3/picture/flags-sq-2/JAM,https://inside.fifa.com/fifa-world-ranking/JAM,CONCACAF
2026-06-24,Jordan,72,63,1355.888626,1387.738222,https://api.fifa.com/api/v3/picture/flags-sq-2/JOR,https://inside.fifa.com/fifa-world-ranking/JOR,AFC
2026-06-24,Georgia,73,72,1355.261687,1355.261687,https://api.fifa.com/api/v3/picture/flags-sq-2/GEO,https://inside.fifa.com/fifa-world-ranking/GEO,UEFA
2026-06-24,Iceland,74,74,1342.771961,1342.771961,https://api.fifa.com/api/v3/picture/flags-sq-2/ISL,https://inside.fifa.com/fifa-world-ranking/ISL,UEFA
2026-06-24,Finland,75,75,1341.922408,1341.922408,https://api.fifa.com/api/v3/picture/flags-sq-2/FIN,https://inside.fifa.com/fifa-world-ranking/FIN,UEFA
2026-06-24,Israel,76,76,1333.904007,1333.904007,https://api.fifa.com/api/v3/picture/flags-sq-2/ISR,https://inside.fifa.com/fifa-world-ranking/ISR,UEFA
2026-06-24,Bolivia,77,77,1325.995377,1325.995377,https://api.fifa.com/api/v3/picture/flags-sq-2/BOL,https://inside.fifa.com/fifa-world-ranking/BOL,CONMEBOL
2026-06-24,Kosovo,78,78,1319.120924,1319.120924,https://api.fifa.com/api/v3/picture/flags-sq-2/KOS,https://inside.fifa.com/fifa-world-ranking/KOS,UEFA
2026-06-24,Oman,79,79,1306.901717,1306.901717,https://api.fifa.com/api/v3/picture/flags-sq-2/OMA,https://inside.fifa.com/fifa-world-ranking/OMA,AFC
2026-06-24,Montenegro,80,80,1301.977191,1301.977191,https://api.fifa.com/api/v3/picture/flags-sq-2/MNE,https://inside.fifa.com/fifa-world-ranking/MNE,UEFA
2026-06-24,Curaçao,81,82,1299.405719,1294.76909,https://api.fifa.com/api/v3/picture/flags-sq-2/CUW,https://inside.fifa.com/fifa-world-ranking/CUW,CONCACAF
2026-06-24,Guinea,82,81,1295.598845,1295.598845,https://api.fifa.com/api/v3/picture/flags-sq-2/GUI,https://inside.fifa.com/fifa-world-ranking/GUI,CAF
2026-06-24,Syria,83,84,1283.051902,1283.051902,https://api.fifa.com/api/v3/picture/flags-sq-2/SYR,https://inside.fifa.com/fifa-world-ranking/SYR,AFC
2026-06-24,New Zealand,84,85,1277.33719,1275.581062,https://api.fifa.com/api/v3/picture/flags-sq-2/NZL,https://inside.fifa.com/fifa-world-ranking/NZL,OFC
2026-06-24,Gabon,85,86,1272.508139,1272.508139,https://api.fifa.com/api/v3/picture/flags-sq-2/GAB,https://inside.fifa.com/fifa-world-ranking/GAB,CAF
2026-06-24,Bulgaria,86,87,1271.683325,1271.683325,https://api.fifa.com/api/v3/picture/flags-sq-2/BUL,https://inside.fifa.com/fifa-world-ranking/BUL,UEFA
2026-06-24,Haiti,87,83,1271.000019,1293.096585,https://api.fifa.com/api/v3/picture/flags-sq-2/HAI,https://inside.fifa.com/fifa-world-ranking/HAI,CONCACAF
2026-06-24,Angola,88,88,1265.575056,1265.575056,https://api.fifa.com/api/v3/picture/flags-sq-2/ANG,https://inside.fifa.com/fifa-world-ranking/ANG,CAF
2026-06-24,Uganda,89,89,1264.090591,1264.090591,https://api.fifa.com/api/v3/picture/flags-sq-2/UGA,https://inside.fifa.com/fifa-world-ranking/UGA,CAF
2026-06-24,Zambia,90,90,1255.821846,1255.821846,https://api.fifa.com/api/v3/picture/flags-sq-2/ZAM,https://inside.fifa.com/fifa-world-ranking/ZAM,CAF
2026-06-24,China PR,91,91,1254.8091,1254.8091,https://api.fifa.com/api/v3/picture/flags-sq-2/CHN,https://inside.fifa.com/fifa-world-ranking/CHN,AFC
2026-06-24,Bahrain,92,92,1254.406799,1254.406799,https://api.fifa.com/api/v3/picture/flags-sq-2/BHR,https://inside.fifa.com/fifa-world-ranking/BHR,AFC
2026-06-24,Benin,93,93,1252.170944,1252.170944,https://api.fifa.com/api/v3/picture/flags-sq-2/BEN,https://inside.fifa.com/fifa-world-ranking/BEN,CAF
2026-06-24,Thailand,94,94,1250.803064,1250.803064,https://api.fifa.com/api/v3/picture/flags-sq-2/THA,https://inside.fifa.com/fifa-world-ranking/THA,AFC
2026-06-24,Palestine,95,95,1243.713925,1243.713925,https://api.fifa.com/api/v3/picture/flags-sq-2/PLE,https://inside.fifa.com/fifa-world-ranking/PLE,AFC
2026-06-24,Belarus,96,96,1242.876029,1242.876029,https://api.fifa.com/api/v3/picture/flags-sq-2/BLR,https://inside.fifa.com/fifa-world-ranking/BLR,UEFA
2026-06-24,Guatemala,97,97,1238.74375,1238.74375,https://api.fifa.com/api/v3/picture/flags-sq-2/GUA,https://inside.fifa.com/fifa-world-ranking/GUA,CONCACAF
2026-06-24,Luxembourg,98,98,1232.81815,1232.81815,https://api.fifa.com/api/v3/picture/flags-sq-2/LUX,https://inside.fifa.com/fifa-world-ranking/LUX,UEFA
2026-06-24,Vietnam,99,99,1225.67943,1225.67943,https://api.fifa.com/api/v3/picture/flags-sq-2/VIE,https://inside.fifa.com/fifa-world-ranking/VIE,AFC
2026-06-24,El Salvador,100,100,1225.344607,1225.344607,https://api.fifa.com/api/v3/picture/flags-sq-2/SLV,https://inside.fifa.com/fifa-world-ranking/SLV,CONCACAF
2026-06-24,Tajikistan,101,101,1224.190098,1224.190098,https://api.fifa.com/api/v3/picture/flags-sq-2/TJK,https://inside.fifa.com/fifa-world-ranking/TJK,AFC
2026-06-24,Trinidad and Tobago,102,102,1219.58613,1219.58613,https://api.fifa.com/api/v3/picture/flags-sq-2/TRI,https://inside.fifa.com/fifa-world-ranking/TRI,CONCACAF
2026-06-24,Mozambique,103,103,1218.616571,1218.616571,https://api.fifa.com/api/v3/picture/flags-sq-2/MOZ,https://inside.fifa.com/fifa-world-ranking/MOZ,CAF
2026-06-24,Madagascar,104,104,1202.689766,1202.689766,https://api.fifa.com/api/v3/picture/flags-sq-2/MAD,https://inside.fifa.com/fifa-world-ranking/MAD,CAF
2026-06-24,Equatorial Guinea,105,105,1195.197081,1195.197081,https://api.fifa.com/api/v3/picture/flags-sq-2/EQG,https://inside.fifa.com/fifa-world-ranking/EQG,CAF
2026-06-24,Kyrgyz Republic,106,106,1192.157969,1192.157969,https://api.fifa.com/api/v3/picture/flags-sq-2/KGZ,https://inside.fifa.com/fifa-world-ranking/KGZ,AFC
2026-06-24,Armenia,107,107,1189.632762,1189.632762,https://api.fifa.com/api/v3/picture/flags-sq-2/ARM,https://inside.fifa.com/fifa-world-ranking/ARM,UEFA
2026-06-24,Comoros,108,108,1187.9109,1187.9109,https://api.fifa.com/api/v3/picture/flags-sq-2/COM,https://inside.fifa.com/fifa-world-ranking/COM,CAF
2026-06-24,Kenya,109,109,1185.076631,1185.076631,https://api.fifa.com/api/v3/picture/flags-sq-2/KEN,https://inside.fifa.com/fifa-world-ranking/KEN,CAF
2026-06-24,Libya,110,110,1182.081264,1182.081264,https://api.fifa.com/api/v3/picture/flags-sq-2/LBY,https://inside.fifa.com/fifa-world-ranking/LBY,CAF
2026-06-24,Kazakhstan,111,111,1180.780449,1180.780449,https://api.fifa.com/api/v3/picture/flags-sq-2/KAZ,https://inside.fifa.com/fifa-world-ranking/KAZ,UEFA
2026-06-24,Tanzania,112,112,1180.267847,1180.267847,https://api.fifa.com/api/v3/picture/flags-sq-2/TAN,https://inside.fifa.com/fifa-world-ranking/TAN,CAF
2026-06-24,Mauritania,113,113,1176.680994,1176.680994,https://api.fifa.com/api/v3/picture/flags-sq-2/MTN,https://inside.fifa.com/fifa-world-ranking/MTN,CAF
2026-06-24,Niger,114,114,1175.332063,1175.332063,https://api.fifa.com/api/v3/picture/flags-sq-2/NIG,https://inside.fifa.com/fifa-world-ranking/NIG,CAF
2026-06-24,Lebanon,115,115,1172.215162,1172.215162,https://api.fifa.com/api/v3/picture/flags-sq-2/LBN,https://inside.fifa.com/fifa-world-ranking/LBN,AFC
2026-06-24,The Gambia,116,116,1159.637808,1159.637808,https://api.fifa.com/api/v3/picture/flags-sq-2/GAM,https://inside.fifa.com/fifa-world-ranking/GAM,CAF
2026-06-24,Sudan,117,117,1157.223901,1157.223901,https://api.fifa.com/api/v3/picture/flags-sq-2/SDN,https://inside.fifa.com/fifa-world-ranking/SDN,CAF
2026-06-24,Indonesia,118,118,1157.142651,1157.142651,https://api.fifa.com/api/v3/picture/flags-sq-2/IDN,https://inside.fifa.com/fifa-world-ranking/IDN,AFC
2026-06-24,Togo,119,119,1152.757527,1152.757527,https://api.fifa.com/api/v3/picture/flags-sq-2/TOG,https://inside.fifa.com/fifa-world-ranking/TOG,CAF
2026-06-24,DPR Korea,120,120,1151.052136,1151.052136,https://api.fifa.com/api/v3/picture/flags-sq-2/PRK,https://inside.fifa.com/fifa-world-ranking/PRK,AFC
2026-06-24,Namibia,121,121,1148.839695,1148.839695,https://api.fifa.com/api/v3/picture/flags-sq-2/NAM,https://inside.fifa.com/fifa-world-ranking/NAM,CAF
2026-06-24,Sierra Leone,122,122,1147.560535,1147.560535,https://api.fifa.com/api/v3/picture/flags-sq-2/SLE,https://inside.fifa.com/fifa-world-ranking/SLE,CAF
2026-06-24,Faroe Islands,123,123,1136.585036,1136.585036,https://api.fifa.com/api/v3/picture/flags-sq-2/FRO,https://inside.fifa.com/fifa-world-ranking/FRO,UEFA
2026-06-24,Cyprus,124,124,1133.247165,1133.247165,https://api.fifa.com/api/v3/picture/flags-sq-2/CYP,https://inside.fifa.com/fifa-world-ranking/CYP,UEFA
2026-06-24,Suriname,125,125,1132.425895,1132.425895,https://api.fifa.com/api/v3/picture/flags-sq-2/SUR,https://inside.fifa.com/fifa-world-ranking/SUR,CONCACAF
2026-06-24,Azerbaijan,126,126,1131.995112,1131.995112,https://api.fifa.com/api/v3/picture/flags-sq-2/AZE,https://inside.fifa.com/fifa-world-ranking/AZE,UEFA
2026-06-24,Estonia,127,127,1130.63629,1130.63629,https://api.fifa.com/api/v3/picture/flags-sq-2/EST,https://inside.fifa.com/fifa-world-ranking/EST,UEFA
2026-06-24,Rwanda,128,128,1126.622275,1126.622275,https://api.fifa.com/api/v3/picture/flags-sq-2/RWA,https://inside.fifa.com/fifa-world-ranking/RWA,CAF
2026-06-24,Malawi,129,129,1122.053591,1122.053591,https://api.fifa.com/api/v3/picture/flags-sq-2/MWI,https://inside.fifa.com/fifa-world-ranking/MWI,CAF
2026-06-24,Zimbabwe,130,130,1119.77695,1119.77695,https://api.fifa.com/api/v3/picture/flags-sq-2/ZIM,https://inside.fifa.com/fifa-world-ranking/ZIM,CAF
2026-06-24,Nicaragua,131,131,1114.634184,1114.634184,https://api.fifa.com/api/v3/picture/flags-sq-2/NCA,https://inside.fifa.com/fifa-world-ranking/NCA,CONCACAF
2026-06-24,Guinea-Bissau,132,132,1108.381553,1108.381553,https://api.fifa.com/api/v3/picture/flags-sq-2/GNB,https://inside.fifa.com/fifa-world-ranking/GNB,CAF
2026-06-24,Kuwait,133,133,1106.474587,1106.474587,https://api.fifa.com/api/v3/picture/flags-sq-2/KUW,https://inside.fifa.com/fifa-world-ranking/KUW,AFC
2026-06-24,Congo,134,134,1105.964661,1105.964661,https://api.fifa.com/api/v3/picture/flags-sq-2/CGO,https://inside.fifa.com/fifa-world-ranking/CGO,CAF
2026-06-24,Philippines,135,135,1100.949959,1100.949959,https://api.fifa.com/api/v3/picture/flags-sq-2/PHI,https://inside.fifa.com/fifa-world-ranking/PHI,AFC
2026-06-24,Malaysia,136,136,1086.218087,1086.218087,https://api.fifa.com/api/v3/picture/flags-sq-2/MAS,https://inside.fifa.com/fifa-world-ranking/MAS,AFC
2026-06-24,Latvia,137,137,1085.660758,1085.660758,https://api.fifa.com/api/v3/picture/flags-sq-2/LVA,https://inside.fifa.com/fifa-world-ranking/LVA,UEFA
2026-06-24,India,138,138,1084.930775,1084.930775,https://api.fifa.com/api/v3/picture/flags-sq-2/IND,https://inside.fifa.com/fifa-world-ranking/IND,AFC
2026-06-24,Central African Republic,139,139,1080.824745,1080.824745,https://api.fifa.com/api/v3/picture/flags-sq-2/CTA,https://inside.fifa.com/fifa-world-ranking/CTA,CAF
2026-06-24,Liberia,140,140,1080.435325,1080.435325,https://api.fifa.com/api/v3/picture/flags-sq-2/LBR,https://inside.fifa.com/fifa-world-ranking/LBR,CAF
2026-06-24,Turkmenistan,141,141,1078.652346,1078.652346,https://api.fifa.com/api/v3/picture/flags-sq-2/TKM,https://inside.fifa.com/fifa-world-ranking/TKM,AFC
2026-06-24,Burundi,142,142,1078.009468,1078.009468,https://api.fifa.com/api/v3/picture/flags-sq-2/BDI,https://inside.fifa.com/fifa-world-ranking/BDI,CAF
2026-06-24,Ethiopia,143,143,1077.520799,1077.520799,https://api.fifa.com/api/v3/picture/flags-sq-2/ETH,https://inside.fifa.com/fifa-world-ranking/ETH,CAF
2026-06-24,Dominican Republic,144,144,1076.498501,1076.498501,https://api.fifa.com/api/v3/picture/flags-sq-2/DOM,https://inside.fifa.com/fifa-world-ranking/DOM,CONCACAF
2026-06-24,Yemen,145,145,1065.236881,1065.236881,https://api.fifa.com/api/v3/picture/flags-sq-2/YEM,https://inside.fifa.com/fifa-world-ranking/YEM,AFC
2026-06-24,Lesotho,146,146,1064.285838,1064.285838,https://api.fifa.com/api/v3/picture/flags-sq-2/LES,https://inside.fifa.com/fifa-world-ranking/LES,CAF
2026-06-24,Botswana,147,147,1063.631368,1063.631368,https://api.fifa.com/api/v3/picture/flags-sq-2/BOT,https://inside.fifa.com/fifa-world-ranking/BOT,CAF
2026-06-24,Singapore,148,148,1057.950212,1057.950212,https://api.fifa.com/api/v3/picture/flags-sq-2/SGP,https://inside.fifa.com/fifa-world-ranking/SGP,AFC
2026-06-24,Lithuania,149,149,1056.850321,1056.850321,https://api.fifa.com/api/v3/picture/flags-sq-2/LTU,https://inside.fifa.com/fifa-world-ranking/LTU,UEFA
2026-06-24,Guyana,150,150,1049.320241,1049.320241,https://api.fifa.com/api/v3/picture/flags-sq-2/GUY,https://inside.fifa.com/fifa-world-ranking/GUY,CONCACAF
2026-06-24,New Caledonia,151,151,1036.952253,1036.952253,https://api.fifa.com/api/v3/picture/flags-sq-2/NCL,https://inside.fifa.com/fifa-world-ranking/NCL,OFC
2026-06-24,St. Kitts and Nevis,152,152,1036.334924,1036.334924,https://api.fifa.com/api/v3/picture/flags-sq-2/SKN,https://inside.fifa.com/fifa-world-ranking/SKN,CONCACAF
2026-06-24,Solomon Islands,153,153,1031.894156,1031.894156,https://api.fifa.com/api/v3/picture/flags-sq-2/SOL,https://inside.fifa.com/fifa-world-ranking/SOL,OFC
2026-06-24,Puerto Rico,154,154,1024.297312,1024.297312,https://api.fifa.com/api/v3/picture/flags-sq-2/PUR,https://inside.fifa.com/fifa-world-ranking/PUR,CONCACAF
2026-06-24,Fiji,155,155,1024.172648,1024.172648,https://api.fifa.com/api/v3/picture/flags-sq-2/FIJ,https://inside.fifa.com/fifa-world-ranking/FIJ,OFC
2026-06-24,Hong Kong,156,156,1024.164346,1024.164346,https://api.fifa.com/api/v3/picture/flags-sq-2/HKG,https://inside.fifa.com/fifa-world-ranking/HKG,AFC
