team_a,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Curaçao,40.0,25.266666666666666,35.46666666666667,38.3,25.333333333333336,43.833333333333336,28.9,37.43333333333334,42.66666666666667,25.333333333333336,25.9,,39.6,42.63333333333333,41.13333333333333,40.8,19.6,22.33333333333333,36.2,36.03333333333333,42.53333333333333,43.4,43.66666666666666,37.333333333333336,36.833333333333336,39.33333333333333,33.93333333333333,39.36666666666667,26.266666666666666,42.833333333333336,36.23333333333333,44.333333333333336,39.5,35.0,38.03333333333334,42.6,36.333333333333336,37.43333333333334,41.9,37.43333333333334,19.26666666666667,38.46666666666667,25.266666666666666,44.66666666666666,38.83333333333333,32.03333333333334,35.0,31.0
Czech Republic,43.56666666666666,24.566666666666663,40.33333333333333,41.86666666666667,38.6,37.6,37.1,44.13333333333333,42.8,31.53333333333333,41.16666666666667,39.6,,50.03333333333333,39.23333333333333,39.83333333333333,24.5,33.03333333333333,41.43333333333333,45.16666666666666,37.0,44.13333333333333,47.266666666666666,43.3,38.766666666666666,43.66666666666666,35.333333333333336,33.2,19.666666666666664,37.23333333333333,34.53333333333333,41.266666666666666,44.6,39.66666666666666,45.0,44.96666666666667,42.96666666666666,36.36666666666667,43.266666666666666,40.36666666666667,36.56666666666666,43.46666666666666,29.6,46.13333333333333,36.63333333333333,39.7,38.2,41.93333333333334
DR Congo,51.23333333333333,25.133333333333336,43.9,46.766666666666666,34.0,41.63333333333333,39.96666666666667,48.5,50.5,34.66666666666667,36.13333333333333,42.63333333333333,50.03333333333333,,40.13333333333333,38.5,26.0,36.4,45.7,49.16666666666666,36.36666666666667,43.93333333333334,48.3,38.766666666666666,40.86666666666667,42.06666666666667,37.9,42.36666666666667,26.266666666666666,36.333333333333336,34.53333333333333,41.13333333333333,41.73333333333333,41.5,42.16666666666667,46.56666666666667,41.16666666666667,43.7,44.6,41.36666666666667,37.43333333333334,42.73333333333333,29.9,46.266666666666666,38.53333333333334,40.13333333333333,39.46666666666667,40.33333333333333
Ecuador,46.63333333333333,43.9,43.3,41.2,36.93333333333334,37.23333333333333,52.56666666666666,45.96666666666667,44.43333333333334,55.00000000000001,36.66666666666666,41.13333333333333,39.23333333333333,40.13333333333333,,48.2,21.633333333333333,34.66666666666667,42.03333333333333,40.9,43.333333333333336,43.96666666666667,44.66666666666666,49.43333333333334,38.333333333333336,35.13333333333333,35.46666666666667,39.2,26.366666666666667,39.266666666666666,43.333333333333336,48.66666666666667,61.83333333333333,40.06666666666667,41.96666666666667,43.0,43.8,40.1,40.56666666666667,45.66666666666666,34.766666666666666,41.53333333333333,33.96666666666667,46.5,43.06666666666666,38.96666666666667,47.43333333333333,42.63333333333333
Egypt,46.13333333333333,27.366666666666667,48.8,48.43333333333334,36.8,39.53333333333333,40.400000000000006,50.76666666666667,48.93333333333334,44.86666666666667,40.36666666666667,40.8,39.83333333333333,38.5,48.2,,30.4,36.2,43.833333333333336,40.13333333333333,31.4,42.93333333333334,40.03333333333333,43.266666666666666,41.7,33.2,38.93333333333333,43.46666666666666,26.5,33.83333333333333,41.53333333333333,46.0,41.86666666666667,42.56666666666667,37.03333333333333,38.766666666666666,40.36666666666667,38.03333333333334,42.53333333333333,42.96666666666666,34.8,39.86666666666667,32.93333333333333,42.4,41.93333333333334,40.7,38.93333333333333,37.13333333333333
England,33.1,38.266666666666666,31.466666666666665,29.666666666666668,29.8,27.03333333333333,31.6,30.566666666666663,28.133333333333333,29.03333333333333,27.53333333333333,19.6,24.5,26.0,21.633333333333333,30.4,,47.9,50.46666666666667,37.5,31.9,37.8,32.33333333333333,35.6,40.1,25.766666666666666,39.93333333333333,47.333333333333336,44.2,39.900000000000006,31.1,41.766666666666666,33.33333333333333,53.86666666666666,36.3,34.46666666666667,37.73333333333333,44.56666666666666,29.86666666666667,37.1,46.833333333333336,36.53333333333333,49.06666666666666,36.4,35.9,43.93333333333334,40.56666666666667,32.166666666666664
France,39.53333333333333,42.6,36.2,36.3,39.56666666666667,35.16666666666667,38.36666666666667,42.13333333333333,26.066666666666663,37.46666666666666,38.0,22.33333333333333,33.03333333333333,36.4,34.66666666666667,36.2,47.9,,48.56666666666667,33.300000000000004,34.9,39.3,29.23333333333333,33.46666666666667,46.13333333333333,30.333333333333336,33.93333333333333,49.833333333333336,44.9,37.4,29.76666666666667,37.3,32.83333333333333,57.06666666666666,32.9,30.366666666666664,28.433333333333334,41.03333333333333,27.43333333333333,44.3,42.5,21.166666666666668,50.76666666666667,31.433333333333337,32.666666666666664,37.333333333333336,37.63333333333333,30.9
Germany,48.8,47.266666666666666,46.266666666666666,39.16666666666666,50.3,38.2,51.8,48.66666666666667,38.8,44.43333333333334,46.3,36.2,41.43333333333333,45.7,42.03333333333333,43.833333333333336,50.46666666666667,48.56666666666667,,38.0,26.6,43.06666666666666,32.5,35.733333333333334,46.16666666666666,27.96666666666667,43.3,44.16666666666666,35.099999999999994,30.833333333333336,39.1,37.93333333333334,29.633333333333333,37.766666666666666,30.3,32.86666666666667,31.666666666666664,44.6,29.2,50.6,41.1,34.43333333333333,38.0,30.3,34.8,46.63333333333333,42.3,34.86666666666667
Ghana,40.86666666666667,30.833333333333336,39.13333333333333,39.33333333333333,32.7,40.0,33.233333333333334,36.766666666666666,44.766666666666666,28.53333333333333,31.933333333333337,36.03333333333333,45.16666666666666,49.16666666666666,40.9,40.13333333333333,37.5,33.300000000000004,38.0,,43.06666666666666,50.96666666666667,49.86666666666667,49.9,47.16666666666667,45.3,38.86666666666667,52.23333333333333,32.6,44.86666666666667,41.53333333333333,49.0,45.53333333333333,43.3,46.266666666666666,48.5,47.63333333333333,40.03333333333333,37.46666666666666,49.56666666666666,25.0,47.73333333333333,33.4,48.1,46.86666666666667,39.03333333333333,41.93333333333334,36.8
Haiti,38.266666666666666,34.733333333333334,35.56666666666667,37.8,27.33333333333333,41.7,26.566666666666663,41.1,43.0,27.366666666666667,27.133333333333333,42.53333333333333,37.0,36.36666666666667,43.333333333333336,31.4,31.9,34.9,26.6,43.06666666666666,,43.96666666666667,43.6,37.0,39.7,37.56666666666666,34.733333333333334,39.23333333333333,24.23333333333333,40.2,32.06666666666666,38.93333333333333,40.63333333333333,33.03333333333333,38.1,41.266666666666666,36.63333333333333,34.333333333333336,40.266666666666666,38.66666666666666,25.0,38.6,28.133333333333333,42.3,34.66666666666667,34.56666666666667,36.7,30.633333333333333
