team_a,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Croatia,35.43333333333333,11.933333333333334,38.333333333333336,43.06666666666666,24.96666666666667,55.03333333333333,26.43333333333333,34.5,53.36666666666666,36.16666666666667,,68.2,49.93333333333334,54.6,53.36666666666666,46.0,26.266666666666666,19.966666666666665,28.433333333333334,52.5,66.06666666666666,43.96666666666667,59.4,51.366666666666674,29.833333333333336,63.366666666666674,31.666666666666664,20.3,28.4,54.66666666666666,49.66666666666666,47.53333333333333,61.1,21.7,62.2,58.03333333333334,49.36666666666667,31.366666666666664,60.7,42.96666666666666,23.5,66.36666666666666,42.9,60.66666666666667,43.8,34.06666666666667,41.2,55.46666666666666
Curaçao,11.133333333333336,3.3666666666666663,10.133333333333333,15.1,7.166666666666667,21.5,10.833333333333334,9.7,15.866666666666667,11.7,5.9,,16.6,15.5,15.066666666666666,11.433333333333334,6.966666666666667,4.4,8.266666666666666,14.466666666666669,29.9,13.766666666666666,17.2,9.5,7.166666666666667,19.966666666666665,7.7,5.366666666666667,7.733333333333333,25.4,13.566666666666666,13.333333333333334,17.9,6.333333333333334,21.6,20.33333333333333,16.866666666666667,7.7,21.933333333333334,12.766666666666667,5.2,16.3,11.1,16.466666666666665,16.0,8.6,10.466666666666669,16.466666666666665
Czech Republic,12.833333333333332,4.366666666666666,14.033333333333331,17.266666666666666,9.666666666666666,44.3,12.4,13.733333333333334,33.36666666666667,12.533333333333331,8.9,43.8,,24.166666666666668,21.566666666666663,14.4,8.4,4.366666666666666,12.433333333333334,30.866666666666664,46.5,15.433333333333332,29.2,14.8,11.733333333333333,40.03333333333333,10.633333333333333,7.633333333333334,15.133333333333333,35.96666666666667,15.966666666666669,15.5,26.066666666666663,10.3,31.966666666666665,34.7,22.33333333333333,9.966666666666669,38.66666666666666,13.933333333333334,6.4,27.166666666666668,15.066666666666666,28.066666666666663,19.7,12.966666666666669,14.099999999999998,30.833333333333336
DR Congo,13.733333333333334,3.966666666666667,13.900000000000002,16.266666666666666,10.533333333333331,41.13333333333333,13.433333333333334,11.733333333333333,28.7,11.2,9.266666666666666,41.86666666666667,25.8,,24.46666666666667,20.96666666666667,8.766666666666667,6.333333333333334,17.466666666666665,30.4,50.03333333333333,18.7,32.4,23.833333333333336,12.8,41.6,12.633333333333333,11.566666666666666,15.133333333333333,40.266666666666666,18.9,18.33333333333333,27.700000000000003,13.533333333333331,35.46666666666667,34.46666666666667,26.466666666666665,16.766666666666666,37.333333333333336,17.1,6.933333333333333,28.566666666666663,16.666666666666664,30.03333333333333,24.433333333333334,14.8,17.7,32.13333333333333
Ecuador,23.666666666666668,2.533333333333333,24.066666666666663,28.366666666666667,10.866666666666664,46.73333333333333,7.3,23.5,32.766666666666666,6.7333333333333325,9.966666666666669,43.8,39.2,35.4,,21.866666666666667,7.666666666666666,6.2,14.466666666666669,31.6,37.93333333333334,17.733333333333334,37.93333333333334,25.2,13.0,47.266666666666666,14.866666666666667,9.4,11.0,31.4,24.933333333333334,23.7,27.73333333333333,10.366666666666667,41.16666666666667,40.96666666666667,36.333333333333336,13.533333333333331,44.83333333333333,17.599999999999998,7.966666666666667,42.8,19.166666666666668,38.266666666666666,25.8,15.366666666666667,24.6,37.06666666666666
Egypt,25.366666666666664,6.333333333333334,24.166666666666668,27.53333333333333,14.766666666666667,50.0,17.266666666666666,23.633333333333333,35.46666666666667,17.7,13.633333333333333,47.766666666666666,45.766666666666666,40.53333333333333,29.933333333333334,,20.266666666666666,12.5,21.96666666666667,42.6,59.9,26.266666666666666,50.43333333333333,33.46666666666667,20.666666666666668,55.60000000000001,23.266666666666666,16.633333333333333,17.766666666666666,46.63333333333333,30.23333333333333,30.23333333333333,45.83333333333333,16.0,53.13333333333333,51.73333333333333,42.73333333333333,26.166666666666664,48.13333333333333,24.066666666666663,14.099999999999998,47.13333333333333,28.53333333333333,47.2,31.73333333333333,24.3,29.23333333333333,49.23333333333333
England,50.3,21.8,49.1,56.56666666666666,51.6,65.73333333333333,56.10000000000001,52.36666666666666,62.83333333333333,58.7,46.2,73.43333333333332,67.10000000000001,65.23333333333333,70.7,49.333333333333336,,21.266666666666666,40.6,50.76666666666667,62.93333333333333,51.33333333333333,62.8,57.06666666666666,46.96666666666667,68.86666666666666,48.46666666666667,36.96666666666666,42.7,48.1,59.56666666666667,48.766666666666666,60.53333333333333,32.86666666666667,58.63333333333334,60.66666666666667,56.43333333333334,45.03333333333333,65.2,53.900000000000006,23.1,58.7,38.86666666666667,57.73333333333333,56.56666666666666,44.266666666666666,50.56666666666667,60.13333333333334
France,49.766666666666666,27.366666666666667,53.23333333333333,54.766666666666666,46.2,59.2,52.900000000000006,46.13333333333333,68.16666666666666,54.400000000000006,42.03333333333333,73.26666666666667,62.6,57.266666666666666,59.13333333333334,51.3,30.833333333333336,,43.8,56.53333333333334,60.266666666666666,52.76666666666666,66.46666666666667,60.0,41.36666666666667,65.83333333333333,54.766666666666666,36.53333333333333,46.266666666666666,52.5,61.83333333333333,54.6,62.63333333333333,33.46666666666667,62.06666666666667,65.4,66.9,51.16666666666667,69.33333333333334,45.13333333333333,35.0,75.76666666666667,36.2,64.73333333333333,60.06666666666667,55.03333333333333,54.96666666666666,60.7
Germany,33.1,8.466666666666667,33.233333333333334,43.16666666666666,24.2,51.96666666666667,23.4,32.46666666666667,51.76666666666667,34.66666666666667,25.266666666666666,55.53333333333333,46.13333333333333,36.833333333333336,43.5,34.2,8.933333333333334,7.633333333333334,,38.6,64.66666666666666,41.06666666666667,57.43333333333334,48.06666666666667,32.46666666666667,62.26666666666667,31.266666666666666,16.8,29.23333333333333,49.06666666666666,40.400000000000006,45.766666666666666,59.96666666666667,22.26666666666667,60.36666666666667,57.96666666666667,55.2,29.0,60.46666666666667,33.46666666666667,12.866666666666667,56.766666666666666,36.5,60.8,50.7,30.666666666666664,37.766666666666666,49.1
Ghana,19.466666666666665,9.166666666666666,18.8,25.133333333333336,15.766666666666667,40.766666666666666,21.3,19.2,30.166666666666668,22.53333333333333,15.566666666666668,49.5,23.966666666666665,20.433333333333334,27.500000000000004,17.266666666666666,11.733333333333333,10.166666666666666,23.4,,44.93333333333333,21.566666666666663,27.6,20.466666666666665,15.366666666666667,32.43333333333333,18.03333333333333,8.766666666666667,13.733333333333334,39.1,21.96666666666667,20.566666666666663,29.6,10.166666666666666,31.4,28.53333333333333,26.33333333333333,14.633333333333336,40.43333333333333,20.366666666666667,9.066666666666666,29.1,26.633333333333333,29.133333333333333,25.266666666666666,16.066666666666666,23.633333333333333,30.23333333333333
