team_a,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Haiti,51.6,61.56666666666667,54.16666666666666,48.23333333333333,66.2,36.96666666666666,61.86666666666667,49.03333333333333,42.266666666666666,60.4,66.06666666666666,29.9,46.5,50.03333333333333,37.93333333333334,59.9,62.93333333333333,60.266666666666666,64.66666666666666,44.93333333333333,,44.16666666666666,39.43333333333333,52.6,53.66666666666666,42.766666666666666,57.7,56.00000000000001,67.63333333333334,35.56666666666667,55.50000000000001,48.66666666666667,42.766666666666666,60.73333333333333,41.6,38.63333333333333,48.3,56.7,38.13333333333333,50.63333333333333,69.56666666666666,45.8,62.7,40.5,48.9,55.900000000000006,53.86666666666666,54.7
Iran,20.96666666666667,56.53333333333334,22.466666666666665,19.766666666666666,44.4,12.033333333333331,38.0,22.03333333333333,16.5,35.5,43.96666666666667,13.766666666666666,15.433333333333332,18.7,17.733333333333334,26.266666666666666,51.33333333333333,52.76666666666666,41.06666666666667,21.566666666666663,11.866666666666667,,5.666666666666666,17.733333333333334,34.43333333333333,11.866666666666667,37.833333333333336,41.333333333333336,46.23333333333333,19.6,22.7,16.966666666666665,11.1,37.333333333333336,8.233333333333333,12.3,13.633333333333333,36.1,11.166666666666666,18.866666666666667,42.16666666666667,10.933333333333334,33.666666666666664,11.133333333333336,19.7,35.96666666666667,31.53333333333333,16.766666666666666
Iraq,42.6,71.96666666666667,44.6,40.5,58.4,19.3,49.36666666666667,41.3,22.766666666666666,52.76666666666666,59.4,17.2,29.2,32.4,37.93333333333334,50.43333333333333,62.8,66.46666666666667,57.43333333333334,27.6,16.966666666666665,24.0,,44.73333333333333,53.93333333333333,14.266666666666666,56.03333333333333,52.43333333333333,65.33333333333333,23.833333333333336,48.4,46.266666666666666,36.1,51.53333333333333,31.73333333333333,15.733333333333333,41.23333333333333,47.36666666666667,25.5,42.8,63.43333333333333,35.06666666666667,60.23333333333334,32.33333333333333,41.266666666666666,47.0,46.833333333333336,39.2
Ivory Coast,26.466666666666665,65.93333333333334,30.23333333333333,27.0,51.366666666666674,12.266666666666666,39.73333333333333,28.9,16.8,41.03333333333333,51.366666666666674,9.5,14.8,23.833333333333336,25.2,33.46666666666667,57.06666666666666,60.0,48.06666666666667,20.466666666666665,10.4,33.233333333333334,15.966666666666669,,39.33333333333333,11.733333333333333,40.63333333333333,41.43333333333333,53.46666666666666,19.066666666666663,35.3,28.96666666666667,17.233333333333334,38.46666666666667,14.833333333333334,12.033333333333331,22.0,34.599999999999994,10.5,35.833333333333336,55.46666666666666,15.666666666666668,40.266666666666666,14.233333333333334,31.266666666666666,35.66666666666667,33.1,17.7
Japan,17.066666666666666,56.53333333333334,15.733333333333333,14.433333333333334,31.53333333333333,7.666666666666666,22.23333333333333,18.7,12.933333333333334,22.433333333333334,29.833333333333336,7.166666666666667,11.733333333333333,12.8,13.0,20.666666666666668,46.96666666666667,41.36666666666667,32.46666666666667,15.366666666666667,6.633333333333333,18.3,12.4,16.03333333333333,,8.966666666666667,28.166666666666668,37.833333333333336,40.36666666666667,20.6,13.133333333333333,12.066666666666666,9.633333333333336,33.766666666666666,8.766666666666667,6.4,9.7,31.2,7.933333333333334,18.666666666666668,46.16666666666666,8.233333333333333,23.166666666666664,8.4,12.4,25.333333333333336,22.866666666666667,13.333333333333334
Jordan,48.5,66.76666666666667,50.83333333333333,51.13333333333333,63.16666666666667,21.4,57.56666666666666,49.46666666666666,30.766666666666666,58.266666666666666,63.366666666666674,19.966666666666665,40.03333333333333,41.6,47.266666666666666,55.60000000000001,68.86666666666666,65.83333333333333,62.26666666666667,32.43333333333333,19.666666666666664,44.9,25.333333333333336,47.06666666666667,52.2,,51.2,54.1,69.96666666666667,24.46666666666667,49.73333333333333,45.0,38.56666666666666,59.23333333333333,38.83333333333333,34.56666666666667,42.46666666666667,49.16666666666666,32.2,44.8,62.1,38.8,58.03333333333334,35.86666666666667,46.1,46.6,39.8,45.266666666666666
Mexico,17.866666666666667,53.73333333333333,18.566666666666663,15.233333333333333,35.03333333333333,9.7,30.866666666666664,19.2,14.3,26.23333333333333,31.666666666666664,7.7,10.633333333333333,12.633333333333333,14.866666666666667,23.266666666666666,48.46666666666667,54.766666666666666,31.266666666666666,18.03333333333333,7.566666666666666,21.266666666666666,10.366666666666667,17.366666666666667,24.8,11.466666666666669,,43.333333333333336,43.7,17.7,16.7,4.433333333333334,11.766666666666667,36.266666666666666,9.066666666666666,12.8,12.333333333333334,31.766666666666666,8.1,15.266666666666667,49.5,9.333333333333334,22.6,9.433333333333334,13.366666666666664,13.533333333333331,22.133333333333333,15.6
Morocco,12.4,45.63333333333333,12.766666666666667,10.166666666666666,18.83333333333333,4.9,17.566666666666666,13.6,8.5,14.133333333333336,20.3,5.366666666666667,7.633333333333334,11.566666666666666,9.4,16.633333333333333,36.96666666666666,36.53333333333333,16.8,8.766666666666667,4.766666666666667,13.266666666666666,8.466666666666667,15.433333333333332,15.8,6.433333333333334,15.833333333333332,,22.2,11.866666666666667,12.1,9.733333333333333,6.4,26.266666666666666,6.7333333333333325,7.066666666666667,7.766666666666666,14.166666666666666,5.5,9.833333333333332,33.46666666666667,4.166666666666666,12.0,5.733333333333333,8.6,11.933333333333334,10.333333333333334,11.133333333333336
Netherlands,17.1,50.46666666666667,17.766666666666666,14.933333333333335,26.8,8.333333333333332,25.566666666666663,16.5,10.633333333333333,19.8,28.4,7.733333333333333,15.133333333333333,15.133333333333333,11.0,17.766666666666666,42.7,46.266666666666666,29.23333333333333,13.733333333333334,8.133333333333333,18.7,12.0,17.233333333333334,24.366666666666667,8.733333333333333,22.433333333333334,34.53333333333333,,15.4,16.733333333333334,12.833333333333332,8.633333333333333,23.7,8.4,6.666666666666667,9.3,18.33333333333333,8.033333333333333,13.166666666666666,38.0,6.033333333333333,14.6,9.133333333333333,10.733333333333334,14.4,13.666666666666666,15.133333333333333
New Zealand,37.8,52.93333333333333,34.5,35.333333333333336,50.7,28.9,40.93333333333333,38.6,36.4,46.8,54.66666666666666,25.4,35.96666666666667,40.266666666666666,31.4,46.63333333333333,48.1,52.5,49.06666666666666,39.1,24.23333333333333,43.333333333333336,36.0,39.36666666666667,36.7,32.5,48.333333333333336,55.66666666666666,47.43333333333333,,35.2,31.266666666666666,31.5,52.3,29.3,25.433333333333337,29.06666666666667,45.13333333333333,24.5,38.43333333333334,69.03333333333333,30.9,56.36666666666667,27.43333333333333,31.333333333333336,47.6,46.93333333333333,41.96666666666667
